epoch,mode,sample,requested_C_H_O,generated_C_H_O,species_key,base_atom_indices,base_bonds,attached_h_per_base_atom,in_species_training_reference,correct_for_condition,termination
300,sampled,80,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,81,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,82,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,83,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,84,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,85,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,86,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,87,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,88,"[0, 2, 0]","[1, 1, 0]",CH,{0: 'C'},[],[1],True,False,STOP
300,sampled,89,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,90,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,91,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,92,"[0, 2, 0]","[1, 2, 1]",CH2O,"{0: 'C', 1: 'O'}","[(0, 1, 2)]","[2, 0]",True,False,STOP
300,sampled,93,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,94,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,95,"[0, 2, 0]","[0, 2, 1]",H2O,{0: 'O'},[],[2],True,False,STOP
300,sampled,96,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,97,"[0, 2, 0]","[1, 2, 0]",CH2,{0: 'C'},[],[2],True,False,STOP
300,sampled,98,"[0, 2, 0]","[1, 0, 0]",C,{0: 'C'},[],[0],True,False,STOP
300,sampled,99,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,100,"[0, 2, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,True,STOP
300,sampled,101,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,102,"[0, 0, 2]","[0, 1, 0]",H,{0: 'H'},[],[],True,False,STOP
300,sampled,103,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,104,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,105,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,106,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,107,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[0, 1]",True,False,STOP
300,sampled,108,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,109,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,110,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,111,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,112,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,113,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,114,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,115,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,116,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,117,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,118,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,119,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,120,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,121,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,122,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,123,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,124,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,125,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,126,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,127,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,128,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,129,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,130,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,131,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,132,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,133,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,134,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,135,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[0, 1]",True,False,STOP
300,sampled,136,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,137,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,138,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,139,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,140,"[0, 0, 2]","[1, 0, 2]",CO2,"{0: 'C', 1: 'O', 2: 'O'}","[(0, 1, 2), (0, 2, 2)]","[0, 0, 0]",True,False,STOP
300,sampled,141,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,142,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,143,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,144,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,145,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,146,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,147,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,148,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,149,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,150,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,151,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,152,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,153,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,154,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,155,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,156,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,157,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,158,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,159,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,160,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,161,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[0, 1]",True,False,STOP
300,sampled,162,"[0, 0, 2]","[0, 1, 1]",OH,{0: 'O'},[],[1],True,False,STOP
300,sampled,163,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,164,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,165,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,166,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,167,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,168,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,169,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,170,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,171,"[0, 0, 2]","[1, 0, 2]",CO2,"{0: 'O', 1: 'C', 2: 'O'}","[(0, 1, 2), (1, 2, 2)]","[0, 0, 0]",True,False,STOP
300,sampled,172,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,173,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,174,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[0, 1]",True,False,STOP
300,sampled,175,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,176,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,177,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,178,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,179,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,180,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,181,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,182,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,183,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,184,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,185,"[0, 0, 2]","[0, 1, 1]",OH,{0: 'O'},[],[1],True,False,STOP
300,sampled,186,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,187,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,188,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,189,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,190,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,191,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,192,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,193,"[0, 0, 2]","[1, 0, 2]",CO2,"{0: 'C', 1: 'O', 2: 'O'}","[(0, 1, 2), (0, 2, 2)]","[0, 0, 0]",True,False,STOP
300,sampled,194,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,195,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,196,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,197,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,198,"[0, 0, 2]","[0, 1, 2]",HO2,"{0: 'O', 1: 'O'}","[(0, 1, 1)]","[1, 0]",True,False,STOP
300,sampled,199,"[0, 0, 2]","[0, 0, 2]",O2,"{0: 'O', 1: 'O'}","[(0, 1, 2)]","[0, 0]",True,True,STOP
300,sampled,200,"[0, 0, 2]","[0, 0, 1]",O,{0: 'O'},[],[0],True,False,STOP
300,sampled,201,"[0, 1, 0]","[0, 1, 0]",H,{0: 'H'},[],[],True,True,STOP
300,sampled,202,"[0, 1, 0]","[1, 1, 1]",HCO,"{0: 'O', 1: 'C'}","[(0, 1, 2)]","[0, 1]",True,False,STOP
300,sampled,203,"[0, 1, 0]","[0, 2, 0]",H2,"{0: 'H', 1: 'H'}","[(0, 1, 1)]",[],True,False,STOP
